symbol,token_address,coingecko_id,always_watch,exchange,borsa
AAMMUSDC,0xd24946147829deaa935be2ad85a3291dbf109c80,aave-amm-usdc,False,"binance,gate",binance
AAMMUSDT,0x17a79792fe6fe5c95dfe95fe3fcee3caf4fe4cb7,aave-amm-usdt,False,"binance,gate",binance
AAMMWBTC,0x13b2f6928d7204328b0e8e4bcd0379aa06ea21fa,aave-amm-wbtc,False,"binance,gate",binance
AAMMWETH,0xf9fb4ad91812b704ba883b11d2b576e890a6730a,aave-amm-weth,False,"binance,gate",binance
ABAL,0x272f97b7a56a387ae942350bbc7df5700f8a4576,aave-bal,False,"binance,gate",binance
ABPT,0x41a08648c3766f9f9d85598ff102a08f4ef84f84,aave-balancer-pool-token,False,"binance,gate",binance
ABAT,0x05ec93c0365baaeabf7aeffb0972ea7ecdd39cf1,aave-bat,False,"binance,gate",binance
ABAT,0xe1ba0fb44ccb0d11b80f92f4f8ed94ca3ff51d00,aave-bat-v1,False,"binance,gate",binance
ABUSD,0xa361718326c15715591c299427c62086f69923d9,aave-busd,False,"binance,gate",binance
ABUSD,0x6ee0f7bb50a54ab5253da0667b0dc2ee526c30a8,aave-busd-v1,False,"binance,gate",binance
ACRV,0x8dae6cb04688c62d939ed9b68d32bc62e49970b1,aave-crv,False,"binance,gate",binance
ADAI,0x028171bca77440897b824ca71d1c56cac55b68a3,aave-dai,False,"binance,gate",binance
ADAI,0xfc1e690f61efd961294b3e1ce3313fbd8aa4f85d,aave-dai-v1,False,"binance,gate",binance
AENJ,0xac6df26a590f08dcc95d5a4705ae8abbc88509ef,aave-enj,False,"binance,gate",binance
AENJ,0x712db54daa836b53ef1ecbb9c6ba3b9efb073f40,aave-enj-v1,False,"binance,gate",binance
GHST,0x3f382dbd960e3a9bbceae22651e88158d2791550,aavegotchi,False,"binance,gate",binance
AGUSD,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,aave-gusd,False,"binance,gate",binance
ASTETH,0x1982b2f5814301d4e9a8b0201555376e62f82428,aave-interest-bearing-steth,False,"binance,gate",binance
AKNC,0x39c6b3e42d6a679d7d776778fe880bc9487c2eda,aave-knc,False,"binance,gate",binance
AKNC,0x9d91be44c06d373a8a226e1f3b146956083803eb,aave-knc-v1,False,"binance,gate",binance
ALINK,0xa06bc25b5805d5f8d82847d191cb4af5a3e873e0,aave-link,False,"binance,gate",binance
